step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
5000,0,6.0494,6.0399,0.0337,0.0949,1.87e-04,5.49_samples/s
5050,0,6.0759,6.0665,0.0356,0.0936,1.89e-04,5.46_samples/s
5100,0,6.2967,6.2878,0.0364,0.0883,1.91e-04,5.44_samples/s
5150,0,6.2284,6.2194,0.0384,0.0904,1.93e-04,5.42_samples/s
5200,0,5.8482,5.8390,0.0395,0.0929,1.95e-04,5.41_samples/s
5250,0,5.9451,5.9359,0.0394,0.0923,1.97e-04,5.39_samples/s
5300,0,6.0129,6.0026,0.0392,0.1033,1.99e-04,5.37_samples/s
5350,0,5.8264,5.8170,0.0366,0.0936,2.00e-04,5.38_samples/s
5400,0,5.9174,5.9078,0.0345,0.0957,2.02e-04,5.39_samples/s
5450,0,5.8458,5.8358,0.0342,0.1001,2.04e-04,5.39_samples/s
5500,0,5.8247,5.8152,0.0321,0.0952,2.06e-04,5.39_samples/s
5550,0,5.8363,5.8260,0.0327,0.1032,2.08e-04,5.39_samples/s
5600,0,6.0738,6.0627,0.0348,0.1110,2.10e-04,5.39_samples/s
5650,0,5.9183,5.9089,0.0365,0.0940,2.12e-04,5.39_samples/s
5700,0,5.5946,5.5856,0.0388,0.0901,2.14e-04,5.39_samples/s
5750,0,5.5667,5.5573,0.0414,0.0940,2.15e-04,5.39_samples/s
5800,0,5.5928,5.5815,0.0416,0.1129,2.17e-04,5.36_samples/s
5850,0,5.7750,5.7637,0.0409,0.1137,2.19e-04,5.35_samples/s
5900,0,5.6346,5.6247,0.0392,0.0990,2.21e-04,5.33_samples/s
5950,0,5.9516,5.9397,0.0404,0.1188,2.23e-04,5.32_samples/s
6000,0,5.7810,5.7707,0.0390,0.1026,2.25e-04,5.30_samples/s
6050,0,5.4085,5.3980,0.0395,0.1048,2.27e-04,5.29_samples/s
6100,0,5.8234,5.8131,0.0372,0.1030,2.29e-04,5.29_samples/s
6150,0,5.6432,5.6318,0.0402,0.1140,2.30e-04,5.28_samples/s
6200,0,5.7683,5.7559,0.0423,0.1239,2.32e-04,5.28_samples/s
6250,0,5.5925,5.5796,0.0392,0.1297,2.34e-04,5.28_samples/s
6300,0,5.3954,5.3830,0.0410,0.1241,2.36e-04,5.28_samples/s
6350,0,5.5070,5.4925,0.0409,0.1452,2.38e-04,5.27_samples/s
6400,0,5.2984,5.2849,0.0409,0.1347,2.40e-04,5.26_samples/s
6450,0,5.3230,5.3095,0.0433,0.1349,2.42e-04,5.27_samples/s
6500,0,5.4909,5.4774,0.0430,0.1358,2.44e-04,5.27_samples/s
6550,0,5.7369,5.7237,0.0435,0.1312,2.45e-04,5.27_samples/s
6600,0,5.0218,5.0063,0.0463,0.1549,2.47e-04,5.24_samples/s
6650,0,5.2124,5.1980,0.0432,0.1445,2.49e-04,5.23_samples/s
6700,0,5.2507,5.2340,0.0518,0.1669,2.51e-04,5.22_samples/s
6750,0,5.4795,5.4650,0.0430,0.1452,2.53e-04,5.21_samples/s
6800,0,4.8934,4.8766,0.0489,0.1679,2.55e-04,5.21_samples/s
6850,0,5.3206,5.3062,0.0447,0.1436,2.57e-04,5.20_samples/s
6900,0,4.9319,4.9172,0.0452,0.1472,2.59e-04,5.19_samples/s
6950,0,4.8052,4.7900,0.0481,0.1525,2.60e-04,5.18_samples/s
7000,0,4.7911,4.7777,0.0460,0.1346,2.62e-04,5.17_samples/s
7050,0,4.8777,4.8581,0.0533,0.1963,2.64e-04,5.18_samples/s
7100,0,5.2745,5.2588,0.0473,0.1569,2.66e-04,5.18_samples/s
7150,0,4.7421,4.7247,0.0508,0.1745,2.68e-04,5.19_samples/s
7200,0,4.8114,4.7927,0.0501,0.1878,2.70e-04,5.19_samples/s
7250,0,4.7200,4.7048,0.0445,0.1513,2.72e-04,5.19_samples/s
7300,0,4.9347,4.9164,0.0468,0.1829,2.74e-04,5.19_samples/s
7350,0,4.5642,4.5483,0.0449,0.1588,2.75e-04,5.19_samples/s
7400,0,4.7980,4.7807,0.0469,0.1728,2.77e-04,5.20_samples/s
7450,0,4.7429,4.7274,0.0440,0.1546,2.79e-04,5.20_samples/s
7500,0,4.7729,4.7580,0.0453,0.1487,2.81e-04,5.20_samples/s
7550,0,4.5389,4.5248,0.0453,0.1414,2.83e-04,5.20_samples/s
7600,0,4.5682,4.5500,0.0514,0.1819,2.85e-04,5.20_samples/s
7650,0,4.6939,4.6785,0.0480,0.1541,2.87e-04,5.20_samples/s
7700,0,4.5781,4.5634,0.0455,0.1478,2.89e-04,5.20_samples/s
7750,0,4.0564,4.0420,0.0501,0.1440,2.90e-04,5.20_samples/s
7800,0,4.1321,4.1148,0.0505,0.1730,2.92e-04,5.21_samples/s
7850,0,4.3079,4.2927,0.0488,0.1518,2.94e-04,5.21_samples/s
7900,0,4.4487,4.4338,0.0480,0.1485,2.96e-04,5.21_samples/s
7950,0,4.2873,4.2736,0.0475,0.1373,2.98e-04,5.21_samples/s
8000,0,4.3359,4.3169,0.0519,0.1898,3.00e-04,5.21_samples/s
8050,0,4.1328,4.1189,0.0487,0.1400,3.00e-04,5.21_samples/s
8100,0,4.1605,4.1453,0.0490,0.1519,3.00e-04,5.21_samples/s
8150,0,3.9721,3.9579,0.0494,0.1417,3.00e-04,5.21_samples/s
8200,0,4.0355,4.0210,0.0507,0.1447,3.00e-04,5.21_samples/s
8250,0,4.0709,4.0557,0.0497,0.1518,3.00e-04,5.22_samples/s
8300,0,4.1440,4.1294,0.0528,0.1462,2.99e-04,5.22_samples/s
8350,0,4.0076,3.9931,0.0506,0.1445,2.99e-04,5.22_samples/s
8400,0,4.0472,4.0290,0.0505,0.1830,2.99e-04,5.22_samples/s
