Epoch,Batch,Total_Loss,CE,KD,Phase,Mag,Mag_Mean,Mag_Std,Phase_Mean,Phase_Std
1,1020,8.715073585510254,8.715073585510254,0.0,0.0,0.0,1.1850817203521729,0.8271033763885498,1.5879448652267456,1.0893638134002686
1,1030,9.119499206542969,9.119499206542969,0.0,0.0,0.0,1.1836018562316895,0.8295790553092957,1.5837827920913696,1.10050368309021
1,1040,8.671711921691895,8.671711921691895,0.0,0.0,0.0,1.1836028099060059,0.830626368522644,1.5819933414459229,1.0961750745773315
1,1050,9.143784523010254,9.143784523010254,0.0,0.0,0.0,1.1845885515213013,0.8293676972389221,1.5752713680267334,1.1064938306808472
1,1060,8.419330596923828,8.419330596923828,0.0,0.0,0.0,1.1827199459075928,0.8331292271614075,1.5843394994735718,1.0972216129302979
1,1070,8.9519681930542,8.9519681930542,0.0,0.0,0.0,1.1841009855270386,0.8312591910362244,1.577265739440918,1.103192925453186
1,1080,8.731993675231934,8.731993675231934,0.0,0.0,0.0,1.185806155204773,0.829727053642273,1.5752962827682495,1.1036545038223267
1,1090,9.57248306274414,9.57248306274414,0.0,0.0,0.0,1.187680959701538,0.8272326588630676,1.5724987983703613,1.112235426902771
1,1100,8.870654106140137,8.870654106140137,0.0,0.0,0.0,1.1844820976257324,0.8325935006141663,1.5748298168182373,1.1066782474517822
1,1110,8.620214462280273,8.620214462280273,0.0,0.0,0.0,1.1838653087615967,0.8341274261474609,1.576899528503418,1.1070257425308228
1,1120,8.656906127929688,8.656906127929688,0.0,0.0,0.0,1.1850833892822266,0.8334411978721619,1.5732365846633911,1.1113382577896118
1,1130,8.83191967010498,8.83191967010498,0.0,0.0,0.0,1.1849033832550049,0.8341699838638306,1.57529616355896,1.1144217252731323
1,1140,9.105801582336426,9.105801582336426,0.0,0.0,0.0,1.186603307723999,0.8321442008018494,1.5717074871063232,1.1191197633743286
1,1150,8.848695755004883,8.848695755004883,0.0,0.0,0.0,1.1855002641677856,0.8342963457107544,1.5714001655578613,1.1215049028396606
1,1160,8.173142433166504,8.173142433166504,0.0,0.0,0.0,1.1870613098144531,0.8335113525390625,1.579859733581543,1.1156328916549683
1,1170,8.04339599609375,8.04339599609375,0.0,0.0,0.0,1.1879637241363525,0.8326597213745117,1.5802178382873535,1.1158714294433594
1,1180,8.93776798248291,8.93776798248291,0.0,0.0,0.0,1.1899315118789673,0.8302032947540283,1.5763731002807617,1.121985912322998
1,1190,8.602582931518555,8.602582931518555,0.0,0.0,0.0,1.1888787746429443,0.832169234752655,1.5714137554168701,1.1242865324020386
1,1200,8.71174144744873,8.71174144744873,0.0,0.0,0.0,1.1894196271896362,0.83241206407547,1.5703556537628174,1.1307061910629272
1,1210,8.356675148010254,8.356675148010254,0.0,0.0,0.0,1.1901288032531738,0.8320958018302917,1.573981761932373,1.1275948286056519
1,1220,9.53403091430664,9.53403091430664,0.0,0.0,0.0,1.1939671039581299,0.8265817761421204,1.5620157718658447,1.1355773210525513
1,1230,9.025094985961914,9.025094985961914,0.0,0.0,0.0,1.1919207572937012,0.8300889730453491,1.5592572689056396,1.135777473449707
