step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
5050,0,2.7504,2.7352,0.0228,0.1299,1.89e-04,4.70_samples/s
5100,0,2.3467,2.3341,0.0210,0.1051,1.91e-04,4.69_samples/s
5150,0,2.6944,2.6819,0.0202,0.1050,1.93e-04,4.69_samples/s
5200,0,2.3857,2.3720,0.0226,0.1151,1.95e-04,4.68_samples/s
5250,0,2.6622,2.6491,0.0205,0.1107,1.97e-04,4.67_samples/s
5300,0,2.5600,2.5474,0.0198,0.1054,1.99e-04,4.66_samples/s
5350,0,2.6517,2.6326,0.0299,0.1609,2.00e-04,4.65_samples/s
5400,0,2.2897,2.2755,0.0229,0.1188,2.02e-04,4.65_samples/s
5450,0,2.3394,2.3256,0.0214,0.1158,2.04e-04,4.64_samples/s
5500,0,2.4316,2.4178,0.0219,0.1158,2.06e-04,4.63_samples/s
5550,0,2.4352,2.4199,0.0237,0.1294,2.08e-04,4.63_samples/s
5600,0,2.4361,2.4246,0.0180,0.0971,2.10e-04,4.62_samples/s
5650,0,2.4863,2.4725,0.0222,0.1157,2.12e-04,4.62_samples/s
5700,0,2.5120,2.4998,0.0196,0.1024,2.14e-04,4.61_samples/s
5750,0,2.3810,2.3678,0.0199,0.1116,2.15e-04,4.61_samples/s
5800,0,2.9378,2.9259,0.0187,0.1001,2.17e-04,4.60_samples/s
5850,0,2.4213,2.4060,0.0236,0.1295,2.19e-04,4.59_samples/s
5900,0,2.1394,2.1275,0.0190,0.1008,2.21e-04,4.59_samples/s
5950,0,2.2093,2.1972,0.0194,0.1013,2.23e-04,4.58_samples/s
6000,0,2.3003,2.2863,0.0225,0.1172,2.25e-04,4.57_samples/s
6050,0,2.3774,2.3622,0.0229,0.1292,2.27e-04,4.56_samples/s
6100,0,2.4728,2.4610,0.0188,0.0990,2.29e-04,4.55_samples/s
6150,0,2.2723,2.2562,0.0253,0.1353,2.30e-04,4.54_samples/s
6200,0,2.5501,2.5372,0.0201,0.1094,2.32e-04,4.54_samples/s
6250,0,2.1803,2.1675,0.0209,0.1072,2.34e-04,4.53_samples/s
6300,0,2.1850,2.1719,0.0197,0.1112,2.36e-04,4.53_samples/s
6350,0,2.1092,2.0961,0.0206,0.1095,2.38e-04,4.53_samples/s
6400,0,2.1846,2.1717,0.0205,0.1081,2.40e-04,4.52_samples/s
6450,0,2.1030,2.0902,0.0203,0.1071,2.42e-04,4.52_samples/s
6500,0,2.0196,2.0084,0.0181,0.0941,2.44e-04,4.51_samples/s
6550,0,2.4535,2.4403,0.0208,0.1113,2.45e-04,4.51_samples/s
6600,0,2.2642,2.2487,0.0243,0.1313,2.47e-04,4.51_samples/s
6650,0,2.0178,2.0063,0.0186,0.0967,2.49e-04,4.50_samples/s
6700,0,2.3603,2.3464,0.0226,0.1167,2.51e-04,4.50_samples/s
6750,0,2.5316,2.5171,0.0229,0.1228,2.53e-04,4.50_samples/s
6800,0,2.2525,2.2417,0.0177,0.0903,2.55e-04,4.50_samples/s
6850,0,2.2336,2.2149,0.0297,0.1576,2.57e-04,4.49_samples/s
6900,0,2.3676,2.3546,0.0198,0.1103,2.59e-04,4.49_samples/s
6950,0,2.2284,2.2093,0.0295,0.1613,2.60e-04,4.49_samples/s
7000,0,2.4731,2.4617,0.0179,0.0964,2.62e-04,4.48_samples/s
7050,0,2.1797,2.1678,0.0197,0.0996,2.64e-04,4.48_samples/s
7100,0,2.3469,2.3347,0.0195,0.1024,2.66e-04,4.47_samples/s
7150,0,2.1184,2.1053,0.0206,0.1107,2.68e-04,4.47_samples/s
7200,0,2.0653,2.0516,0.0207,0.1159,2.70e-04,4.47_samples/s
7250,0,2.2267,2.2138,0.0204,0.1085,2.72e-04,4.47_samples/s
7300,0,2.5000,2.4856,0.0222,0.1226,2.74e-04,4.46_samples/s
7350,0,2.2277,2.2154,0.0189,0.1037,2.75e-04,4.46_samples/s
7400,0,2.0718,2.0608,0.0172,0.0927,2.77e-04,4.46_samples/s
7450,0,2.0840,2.0693,0.0230,0.1236,2.79e-04,4.45_samples/s
7500,0,2.2788,2.2603,0.0285,0.1565,2.81e-04,4.45_samples/s
7550,0,1.9791,1.9675,0.0189,0.0972,2.83e-04,4.45_samples/s
7600,0,2.3998,2.3871,0.0197,0.1073,2.85e-04,4.45_samples/s
7650,0,2.2488,2.2355,0.0222,0.1114,2.87e-04,4.45_samples/s
7700,0,2.0985,2.0874,0.0173,0.0934,2.89e-04,4.44_samples/s
7750,0,1.9856,1.9736,0.0191,0.1009,2.90e-04,4.44_samples/s
7800,0,2.0185,2.0049,0.0214,0.1147,2.92e-04,4.44_samples/s
7850,0,2.4690,2.4581,0.0176,0.0918,2.94e-04,4.44_samples/s
7900,0,2.0473,2.0312,0.0250,0.1363,2.96e-04,4.43_samples/s
7950,0,2.0819,2.0695,0.0195,0.1044,2.98e-04,4.43_samples/s
8000,0,2.0685,2.0508,0.0267,0.1503,3.00e-04,4.43_samples/s
8050,0,2.2482,2.2346,0.0205,0.1164,3.00e-04,4.42_samples/s
8100,0,2.1763,2.1642,0.0188,0.1018,3.00e-04,4.42_samples/s
8150,0,1.9900,1.9748,0.0225,0.1298,3.00e-04,4.42_samples/s
8200,0,2.0684,2.0572,0.0185,0.0942,3.00e-04,4.42_samples/s
8250,0,1.9246,1.9054,0.0289,0.1629,3.00e-04,4.41_samples/s
8300,0,1.9847,1.9732,0.0179,0.0966,3.00e-04,4.41_samples/s
8350,0,1.9407,1.9287,0.0188,0.1004,3.00e-04,4.41_samples/s
8400,0,2.3043,2.2922,0.0196,0.1014,3.00e-04,4.41_samples/s
8450,0,1.6973,1.6855,0.0190,0.0998,3.00e-04,4.42_samples/s
8500,0,2.3378,2.3243,0.0215,0.1140,3.00e-04,4.43_samples/s
8550,0,1.9859,1.9746,0.0181,0.0949,2.99e-04,4.44_samples/s
8600,0,1.9993,1.9828,0.0253,0.1394,2.99e-04,4.44_samples/s
8650,0,1.9169,1.9049,0.0191,0.1006,2.99e-04,4.45_samples/s
8700,0,1.8685,1.8571,0.0182,0.0956,2.99e-04,4.46_samples/s
8750,0,1.8211,1.8117,0.0156,0.0784,2.99e-04,4.46_samples/s
8800,0,2.0381,2.0210,0.0264,0.1446,2.99e-04,4.47_samples/s
8850,0,2.2774,2.2655,0.0186,0.1007,2.99e-04,4.48_samples/s
8900,0,2.0211,2.0033,0.0279,0.1499,2.99e-04,4.48_samples/s
8950,0,2.0358,2.0256,0.0157,0.0856,2.99e-04,4.49_samples/s
9000,0,1.7485,1.7380,0.0175,0.0874,2.99e-04,4.49_samples/s
9050,0,1.9071,1.8962,0.0170,0.0918,2.99e-04,4.50_samples/s
9100,0,2.2355,2.2233,0.0196,0.1023,2.99e-04,4.50_samples/s
9150,0,1.6542,1.6445,0.0156,0.0809,2.99e-04,4.50_samples/s
9200,0,2.0105,2.0000,0.0159,0.0882,2.99e-04,4.51_samples/s
9250,0,1.8577,1.8480,0.0152,0.0823,2.99e-04,4.51_samples/s
9300,0,2.0928,2.0808,0.0190,0.1010,2.99e-04,4.52_samples/s
9350,0,1.9372,1.9250,0.0194,0.1024,2.99e-04,4.52_samples/s
9400,0,2.1794,2.1695,0.0160,0.0839,2.99e-04,4.53_samples/s
9450,0,1.9231,1.9128,0.0163,0.0871,2.99e-04,4.53_samples/s
9500,0,2.1989,2.1871,0.0195,0.0984,2.99e-04,4.54_samples/s
9550,0,2.5231,2.5121,0.0178,0.0923,2.99e-04,4.54_samples/s
9600,0,1.9319,1.9197,0.0192,0.1034,2.98e-04,4.54_samples/s
9650,0,2.0473,2.0306,0.0254,0.1409,2.98e-04,4.54_samples/s
9700,0,1.9483,1.9318,0.0256,0.1385,2.98e-04,4.55_samples/s
9750,0,2.3072,2.2951,0.0187,0.1019,2.98e-04,4.55_samples/s
9800,0,2.1306,2.1187,0.0185,0.1004,2.98e-04,4.56_samples/s
9850,0,1.9721,1.9602,0.0192,0.1000,2.98e-04,4.56_samples/s
9900,0,2.0274,2.0121,0.0247,0.1277,2.98e-04,4.57_samples/s
9950,0,1.6819,1.6714,0.0160,0.0891,2.98e-04,4.57_samples/s
10000,0,2.1103,2.0977,0.0201,0.1050,2.98e-04,4.58_samples/s
10050,0,1.8635,1.8527,0.0171,0.0910,2.98e-04,4.58_samples/s
10100,0,1.9523,1.9358,0.0252,0.1392,2.98e-04,4.59_samples/s
10150,0,1.9168,1.9018,0.0226,0.1273,2.98e-04,4.59_samples/s
10200,0,2.1223,2.1087,0.0198,0.1163,2.98e-04,4.59_samples/s
10250,0,2.1305,2.1155,0.0228,0.1267,2.98e-04,4.60_samples/s
10300,0,1.7833,1.7708,0.0195,0.1053,2.98e-04,4.60_samples/s
