step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
9200,0,3.5346,3.5196,0.0479,0.1500,2.98e-04,4.88_samples/s
9250,0,3.3654,3.3526,0.0445,0.1276,2.98e-04,4.89_samples/s
9300,0,3.3898,3.3776,0.0433,0.1219,2.97e-04,4.89_samples/s
9350,0,3.0860,3.0739,0.0432,0.1213,2.97e-04,4.89_samples/s
9400,0,3.3756,3.3635,0.0437,0.1213,2.97e-04,4.89_samples/s
9450,0,3.4185,3.4007,0.0485,0.1776,2.97e-04,4.89_samples/s
9500,0,3.4055,3.3941,0.0428,0.1136,2.97e-04,4.89_samples/s
9550,0,3.6329,3.6213,0.0446,0.1165,2.97e-04,4.89_samples/s
9600,0,3.1862,3.1732,0.0450,0.1304,2.97e-04,4.89_samples/s
9650,0,3.2042,3.1864,0.0468,0.1783,2.97e-04,4.89_samples/s
9700,0,3.1621,3.1509,0.0416,0.1117,2.97e-04,4.89_samples/s
9750,0,3.1955,3.1825,0.0450,0.1301,2.97e-04,4.89_samples/s
9800,0,3.2612,3.2437,0.0483,0.1745,2.96e-04,4.89_samples/s
9850,0,3.2839,3.2659,0.0486,0.1795,2.96e-04,4.89_samples/s
9900,0,3.1675,3.1535,0.0482,0.1393,2.96e-04,4.89_samples/s
9950,0,3.1103,3.0983,0.0436,0.1201,2.96e-04,4.88_samples/s
